GeneName	PMID	PublicationYear
ATXN1	37397792	2023
ATXN1	37146135	2023
ATXN1	37043475	2023
ATXN1	36599645	2023
ATXN1	36549973	2022
ATXN1	36291186	2022
ATXN1	35869263	2022
ATXN1	35573049	2022
ATXN1	35525134	2022
ATXN1	35182509	2022
ATXN1	34830553	2021
ATXN1	34635619	2021
ATXN1	34600502	2021
ATXN1	34372915	2021
ATXN1	34179866	2021
ATXN1	33502644	2021
ATXN1	33276461	2020
ATXN1	33159825	2020
ATXN1	32954321	2020
ATXN1	32761094	2020
ATXN1	32580238	2020
ATXN1	32339968	2020
ATXN1	31940111	2020
ATXN1	31810584	2019
ATXN1	31645175	2019
ATXN1	30891880	2019
ATXN1	30729852	2019
ATXN1	30615214	2019
ATXN1	30324307	2018
ATXN1	30314815	2018
ATXN1	30120431	2018
ATXN1	30108484	2018
ATXN1	29845242	2018
ATXN1	29715545	2018
ATXN1	29656178	2018
ATXN1	29497168	2018
ATXN1	29274668	2017
ATXN1	29249939	2017
ATXN1	29057148	2017
ATXN1	28585930	2017
ATXN1	28444220	2017
ATXN1	26377379	2015
ATXN1	26077168	2015
ATXN1	25595967	2015
ATXN1	25344417	2014
ATXN1	25255716	2014
ATXN1	24972706	2014
ATXN1	24594842	2014
ATXN1	24534762	2014
ATXN1	23634774	2013
ATXN1	23376683	2013
ATXN1	23197749	2012
ATXN1	22884877	2012
ATXN1	22753119	2012
ATXN1	22718440	2012
ATXN1	21909428	2011
ATXN1	21562248	2011
ATXN1	20304006	2010
ATXN1	19597981	2009
ATXN1	19049837	2008
ATXN1	18759344	2008
ATXN1	18418679	2008
ATXN1	18337722	2008
ATXN1	18301861	2008
ATXN1	18231590	2008
ATXN1	17961920	2007
ATXN1	17420317	2007
ATXN1	17116127	2006
ATXN1	16967484	2006
ATXN1	16223509	2005
ATXN1	16133185	2005
ATXN1	15553088	2004
ATXN1	15300851	2004
ATXN1	15292212	2004
ATXN1	15167689	2004
ATXN1	15148151	2004
ATXN1	15080863	2004
ATXN1	12963369	2003
ATXN1	12757707	2003
ATXN1	11973625	2002
ATXN1	11807410	2002
ATXN1	11804332	2002
ATXN1	11760030	2002
ATXN1	11346374	2001
ATXN1	10942107	2000
ATXN1	10768629	2000
ATXN1	10649571	2000
ATXN1	10556293	1999
ATXN1	10453742	1999
ATXN1	9758625	1998
ATXN1	9613852	1998
ATXN1	9559993	1998
ATXN1	9485421	1998
ATXN1	9450899	1998
ATXN1	9342197	1997
ATXN1	9309871	1997
ATXN1	9187671	1997
ATXN1	9184318	1997
ATXN1	9106530	1997
ATXN1	9088110	1996
ATXN1	8519769	1995
ATXN1	7477379	1995
ATXN1	7553854	1995
ATXN10	36092952	2022
ATXN10	35103298	2022
ATXN10	34970537	2022
ATXN10	33502644	2021
ATXN10	32520333	2020
ATXN10	32160188	2020
ATXN10	31737797	2019
ATXN10	31445906	2019
ATXN10	31342269	2019
ATXN10	29932473	2018
ATXN10	28890930	2017
ATXN10	27248057	2016
ATXN10	26295943	2015
ATXN10	26077168	2015
ATXN10	26039897	2015
ATXN10	24278426	2013
ATXN10	24269018	2013
ATXN10	23083689	2012
ATXN10	23026538	2012
ATXN10	22065565	2011
ATXN10	21282659	2011
ATXN10	20065034	2010
ATXN10	19651850	2009
ATXN10	19234597	2009
ATXN10	19171184	2009
ATXN10	19147916	2009
ATXN10	17961920	2007
ATXN10	17846122	2007
ATXN10	16924013	2006
ATXN10	16498633	2006
ATXN10	16385455	2005
ATXN10	15970586	2005
ATXN10	15505178	2004
ATXN10	15201271	2004
ATXN2	38165578	2024
ATXN2	38152578	2023
ATXN2	37906407	2023
ATXN2	37848721	2023
ATXN2	37821389	2023
ATXN2	37397792	2023
ATXN2	37379724	2023
ATXN2	37202167	2023
ATXN2	37146135	2023
ATXN2	37070044	2023
ATXN2	37043475	2023
ATXN2	37003406	2023
ATXN2	36894829	2023
ATXN2	36823368	2023
ATXN2	36618024	2023
ATXN2	36530930	2022
ATXN2	36209056	2022
ATXN2	36008116	2022
ATXN2	35989899	2022
ATXN2	35962273	2022
ATXN2	35869263	2022
ATXN2	35787375	2022
ATXN2	35599735	2022
ATXN2	35525134	2022
ATXN2	35521889	2022
ATXN2	35297556	2022
ATXN2	35188716	2022
ATXN2	35182509	2022
ATXN2	35052497	2022
ATXN2	34565721	2021
ATXN2	34390268	2021
ATXN2	34372915	2021
ATXN2	34350994	2021
ATXN2	34298214	2021
ATXN2	34284285	2021
ATXN2	34179866	2021
ATXN2	34168085	2021
ATXN2	34159894	2021
ATXN2	34077532	2021
ATXN2	33688396	2021
ATXN2	33625581	2021
ATXN2	33548146	2021
ATXN2	33502644	2021
ATXN2	33414559	2021
ATXN2	33377399	2020
ATXN2	33284045	2020
ATXN2	33159825	2020
ATXN2	33115537	2020
ATXN2	33070405	2020
ATXN2	33058338	2020
ATXN2	33029780	2020
ATXN2	32989102	2020
ATXN2	32954321	2020
ATXN2	32932600	2020
ATXN2	32870233	2020
ATXN2	32822634	2020
ATXN2	32340607	2020
ATXN2	32307524	2020
ATXN2	32124191	2020
ATXN2	32082115	2020
ATXN2	31940111	2020
ATXN2	31898278	2020
ATXN2	31812845	2019
ATXN2	31810584	2019
ATXN2	31766565	2019
ATXN2	31619481	2019
ATXN2	31522753	2019
ATXN2	31432357	2019
ATXN2	31343735	2019
ATXN2	30920184	2019
ATXN2	30891880	2019
ATXN2	30847648	2019
ATXN2	30615214	2019
ATXN2	30611021	2019
ATXN2	30591349	2018
ATXN2	30417124	2018
ATXN2	30342765	2018
ATXN2	30342763	2018
ATXN2	30314815	2018
ATXN2	30196130	2018
ATXN2	30120431	2018
ATXN2	29959555	2018
ATXN2	29934271	2018
ATXN2	29895397	2018
ATXN2	29801887	2018
ATXN2	29801076	2018
ATXN2	29756284	2018
ATXN2	29715545	2018
ATXN2	29666341	2018
ATXN2	29665996	2018
ATXN2	29553382	2018
ATXN2	29497168	2018
ATXN2	29468174	2018
ATXN2	29462666	2018
ATXN2	29249939	2017
ATXN2	29080331	2017
ATXN2	29057148	2017
ATXN2	29046994	2017
ATXN2	28923333	2017
ATXN2	28782341	2017
ATXN2	28642336	2017
ATXN2	28585930	2017
ATXN2	28534046	2017
ATXN2	30363439	2017
ATXN2	28527524	2017
ATXN2	28525545	2017
ATXN2	28444220	2017
ATXN2	28263872	2017
ATXN2	28124431	2017
ATXN2	28017481	2016
ATXN2	28017238	2016
ATXN2	27896316	2016
ATXN2	27848087	2016
ATXN2	27774050	2016
ATXN2	27531668	2016
ATXN2	27333979	2016
ATXN2	27245636	2016
ATXN2	26846400	2016
ATXN2	26777436	2016
ATXN2	26733254	2016
ATXN2	26599997	2015
ATXN2	26551617	2015
ATXN2	26377379	2015
