external_synonym	hgnc_symbol
BDSD	HOXD13
HOX4I	HOXD13
SPD	HOXD13
174100	HOXD13
HOX4I	HOXD13
HOX4I	HOXD13
SPD	HOXD13
HD	HTT
IT15	HTT
HD	HTT
IT15	HTT
HD	HTT
IT15	HTT
CAGL237	JPH3
HDL2	JPH3
JP-3	JPH3
JP3	JPH3
TNRC22	JPH3
JP3	JPH3
TNRC22	JPH3
CAGL237	JPH3
HDL2	JPH3
JP-3	JPH3
JP3	JPH3
TNRC22	JPH3
ST7	LRP12
ST7	LRP12
FLJ12929	LRP12
ST7	LRP12
CA 15-3	MUC1
CD227	MUC1
EMA	MUC1
H23AG	MUC1
KL-6	MUC1
MAM6	MUC1
MCKD1	MUC1
MUC-1	MUC1
MUC-1/SEC	MUC1
MUC-1/X	MUC1
MUC1/ZD	MUC1
PEM	MUC1
PEMT	MUC1
PUM	MUC1
PUM	MUC1
CD227	MUC1
PEM	MUC1
PUM	MUC1
FSP3	NIPA1
SPG6	NIPA1
SPG6	NIPA1
MGC35570	NIPA1
SPG6	NIPA1
NOL5A	NOP56
SCA36	NOP56
RNU57	NOP56
U57	NOP56
U86	NOP56
HBII-55	NOP56
hsa-mir-1292	NOP56
MIRN1292	NOP56
NOL5A	NOP56
NOL5A	NOP56
SCA36	NOP56
OPMD	PABPN1
PAB2	PABPN1
PABII	PABPN1
PABP-2	PABPN1
PABP2	PABPN1
257950	PABPN1
PAB2	PABPN1
PABP2	PABPN1
OPMD	PABPN1
PAB2	PABPN1
PABP2	PABPN1
NBLST2	PHOX2B
NBPhox	PHOX2B
PMX2B	PHOX2B
PMX2B	PHOX2B
NBPhox	PHOX2B
Phox2b	PHOX2B
PMX2B	PHOX2B
MDP1	POLG
MIRAS	POLG
MTDPS4A	POLG
MTDPS4B	POLG
PEO	POLG
POLG1	POLG
POLGA	POLG
SANDO	POLG
SCAE	POLG
160550	POLG
255170	POLG
550000	POLG
601226	POLG
601227	POLG
603280	POLG
604005	POLG
212900	POLG
601779	POLG
MDP1	POLG
POLG1	POLG
POLGA	POLG
POLG1	POLG
POLGA	POLG
B55BETA	PPP2R2B
PP2AB55BETA	PPP2R2B
PP2ABBETA	PPP2R2B
PP2APR55B	PPP2R2B
PP2APR55BETA	PPP2R2B
PR2AB55BETA	PPP2R2B
PR2ABBETA	PPP2R2B
PR2APR55BETA	PPP2R2B
PR52B	PPP2R2B
PR55-BETA	PPP2R2B
PR55BETA	PPP2R2B
SCA12	PPP2R2B
PR52B	PPP2R2B
PR55-BETA	PPP2R2B
SCA12	PPP2R2B
PFM9	PRDM12
PFM9	PRDM12
AltPrP	PRNP
ASCR	PRNP
CD230	PRNP
CJD	PRNP
GSS	PRNP
KURU	PRNP
p27-30	PRNP
PRIP	PRNP
PrP	PRNP
PrP27-30	PRNP
PrP33-35C	PRNP
PrPc	PRNP
183000	PRNP
604920	PRNP
PRIP	PRNP
PRP	PRNP
AltPrP	PRNP
CD230	PRNP
CJD	PRNP
GSS	PRNP
PRIP	PRNP
PRP	PRNP
SMCR	RAI1
SMS	RAI1
KIAA1820	RAI1
DKFZP434A139	RAI1
KIAA1820	RAI1
MGC12824	RAI1
SMCR	RAI1
SMS	RAI1
CNrasGEF	RAPGEF2
nRap GEP	RAPGEF2
NRAPGEP	RAPGEF2
PDZ-GEF1	RAPGEF2
PDZGEF1	RAPGEF2
RA-GEF	RAPGEF2
RA-GEF-1	RAPGEF2
Rap-GEP	RAPGEF2
KIAA0313	RAPGEF2
NRAPGEP	RAPGEF2
PDZGEF1	RAPGEF2
DKFZP586O1422	RAPGEF2
KIAA0313	RAPGEF2
PDZ-GEF1	RAPGEF2
PDZGEF1	RAPGEF2
RA-GEF	RAPGEF2
A1	RFC1
MHCBFB	RFC1
PO-GA	RFC1
RECC1	RFC1
RFC	RFC1
RFC140	RFC1
RFC140	RFC1
A1	RFC1
MHCBFB	RFC1
PO-GA	RFC1
RFC140	RFC1
GOSPEL	RILPL1
RLP1	RILPL1
RLP1	RILPL1
